y_true,y_proba
0,0.0053182053
1,0.0352695
0,0.7563123
0,0.008511046
0,0.010976181
1,0.07252098
1,0.43395892
0,0.34836212
1,0.31289494
1,0.5268461
0,0.071395546
0,0.6825612
1,0.025113221
0,0.032661304
0,0.21230015
0,0.23648158
0,0.45337808
1,0.17833295
1,0.057466257
0,0.24147262
1,0.81524366
1,0.19903438
0,0.17455211
1,0.85621536
0,0.8136069
1,0.80639184
1,0.62152755
0,0.3051584
0,0.45869645
1,0.08290292
1,0.81612986
1,0.213952
1,0.06078986
0,0.70497227
1,0.6808901
1,0.08615052
0,0.05640905
0,0.09066075
0,0.4432774
0,0.5055217
1,0.68987834
0,0.05149371
0,0.108167015
1,0.7931314
1,0.5730618
0,0.7039158
1,0.6535989
0,0.22979315
0,0.25009212
1,0.26673478
1,0.40906155
0,0.025580738
1,0.7424162
1,0.7667138
0,0.011482758
1,0.7303808
1,0.20297894
0,0.060519774
0,0.3305977
1,0.09415928
1,0.49458298
1,0.49779558
1,0.8995073
1,0.43459174
1,0.5509563
1,0.78652406
1,0.8840744
1,0.42294917
1,0.24911956
0,0.1740008
0,0.008759661
1,0.9270512
1,0.251385
1,0.20183448
1,0.7485182
1,0.022340184
0,0.08193909
1,0.28519166
0,0.02015965
1,0.13502106
1,0.118269384
1,0.040506866
1,0.6023241
1,0.011459259
0,0.19819593
1,0.6470995
1,0.069899745
0,0.0048835794
1,0.040637605
1,0.003718001
0,0.62048745
0,0.010847906
1,0.8090442
1,0.7024995
0,0.1995794
0,0.07777076
1,0.9038206
1,0.35831535
1,0.23979455
1,0.0490596
1,0.7331282
0,0.6002763
1,0.011925019
1,0.19062415
0,0.03229293
1,0.08226243
1,0.72914255
0,0.2172124
1,0.52905136
0,0.035502102
0,0.0059579643
0,0.0034120101
0,0.3967537
0,0.7587157
0,0.018332448
1,0.25059485
1,0.34921926
0,0.03769716
0,0.25062266
0,0.035054155
1,0.71448606
0,0.01808814
0,0.13537122
1,0.9428021
0,0.20736112
1,0.43561092
1,0.14875081
0,0.07287348
1,0.36121055
1,0.3273557
0,0.6109783
0,0.08473692
1,0.33502558
1,0.251917
0,0.10419604
1,0.030382419
0,0.7044342
0,0.31614405
0,0.7041156
0,0.022678267
0,0.67461187
1,0.29658952
1,0.26838595
0,0.019921474
0,0.12290246
1,0.10643351
1,0.73914015
1,0.15002716
0,0.025253696
0,0.110720426
1,0.6071063
0,0.15397167
1,0.1150027
0,0.26518917
1,0.109547846
0,0.037181567
0,0.020657616
1,0.4011516
1,0.43089327
0,0.05501114
0,0.021026779
0,0.6113404
0,0.028329236
1,0.49623695
1,0.7897148
1,0.49444526
0,0.61612433
0,0.011310255
1,0.6402282
0,0.13631207
1,0.16777067
1,0.5421915
0,0.01082849
1,0.04974468
1,0.20301452
0,0.02727012
1,0.08202263
0,0.48611253
1,0.22108078
1,0.4340703
0,0.05898779
0,0.033305205
1,0.49286792
0,0.48908833
0,0.079531275
0,0.8354323
1,0.027786732
0,0.4734514
1,0.3147662
0,0.3941943
1,0.90462583
1,0.50520337
1,0.7978777
1,0.32311884
1,0.8928713
1,0.7129221
1,0.7929711
1,0.4122193
1,0.9424249
0,0.48613277
1,0.0622252
0,0.021410024
1,0.6520161
1,0.09862576
0,0.689403
0,0.17007044
0,0.18823929
0,0.810371
1,0.59434247
0,0.17548597
1,0.23589242
1,0.015162843
1,0.20598987
1,0.2500739
0,0.19795847
0,0.23437633
1,0.871331
0,0.07037365
1,0.18690573
1,0.64564735
1,0.822438
0,0.4963204
0,0.19459021
1,0.21650413
0,0.36896473
1,0.2588936
0,0.022832401
0,0.07175798
0,0.07299291
1,0.27964967
1,0.3407711
1,0.8129048
0,0.42107671
1,0.5350785
0,0.015681082
0,0.009663625
1,0.20624682
0,0.13833474
0,0.16190058
1,0.77196777
0,0.17550643
1,0.5327774
0,0.6993839
0,0.2592366
1,0.03188718
1,0.073777415
1,0.45685047
1,0.22374997
1,0.6088581
1,0.100602716
1,0.5615211
0,0.16147968
0,0.083816424
1,0.6227234
1,0.5786398
0,0.028425284
1,0.3784703
1,0.8891821
1,0.6977392
1,0.96241295
1,0.063000314
1,0.3836576
1,0.33630133
1,0.59620017
1,0.34722486
1,0.64104253
1,0.39344645
0,0.0015314879
1,0.5657253
1,0.21828844
1,0.38788417
0,0.25017804
1,0.75646776
0,0.057825
1,0.51770407
0,0.900871
1,0.61371756
1,0.41117233
1,0.44699907
1,0.7864284
0,0.50903034
1,0.46770892
1,0.6256361
1,0.0745178
1,0.29332846
1,0.4896785
1,0.20274487
0,0.005839739
0,0.28766346
1,0.01908709
1,0.66870487
1,0.7567375
0,0.23904431
1,0.4018596
1,0.77267855
1,0.7628704
1,0.74593025
0,0.17291085
1,0.39598623
1,0.36750877
1,0.8677584
1,0.67048204
1,0.47645706
1,0.047510322
0,0.016801251
0,0.03689507
1,0.92313194
1,0.30541557
0,0.002947463
1,0.88917464
1,0.89646435
0,0.058029167
0,0.2192617
0,0.25307485
0,0.13385786
1,0.040949684
1,0.6442847
1,0.12058303
0,0.84508723
0,0.2013952
0,0.07469992
1,0.24437341
0,0.053281695
0,0.18106832
0,0.009676881
1,0.5214241
1,0.36280835
0,0.2792062
1,0.3694488
1,0.0022416243
1,0.57619905
0,0.010778932
0,0.41706687
1,0.8066878
0,0.06977248
0,0.026768623
0,0.76467294
0,0.2910201
0,0.28549287
1,0.13264064
0,0.03140615
1,0.03206996
0,0.013075516
0,0.059932973
1,0.48813012
1,0.90422255
1,0.23986728
1,0.5843963
1,0.3459206
1,0.124302015
1,0.028562047
1,0.5895345
1,0.7019129
0,0.35282394
1,0.8046144
1,0.4459479
0,0.059239306
1,0.5921659
1,0.5131565
0,0.011459259
1,0.7775616
0,0.17759627
1,0.59634113
0,0.0056489618
0,0.65887403
0,0.16639645
1,0.5468075
1,0.6986681
1,0.05144801
0,0.20989697
1,0.25716013
1,0.8571868
1,0.43190414
1,0.047462583
0,0.03782315
1,0.70675874
0,0.29516733
0,0.15917845
1,0.2669753
0,0.08575054
1,0.9325297
0,0.08598841
1,0.2321204
0,0.20383354
1,0.27189317
0,0.19924243
1,0.44411176
1,0.86009455
1,0.11010325
0,0.056889042
0,0.12161217
1,0.45291787
1,0.027898278
0,0.16143587
1,0.3209958
0,0.02820041
1,0.5488686
0,0.15950704
0,0.38698283
0,0.9478102
1,0.7314066
0,0.15089099
1,0.23432495
0,0.04052683
1,0.7297285
0,0.17522109
1,0.5519833
1,0.4046008
1,0.5453236
1,0.6198969
0,0.16705823
1,0.74696296
1,0.88284343
1,0.48369822
1,0.0836452
1,0.31126007
0,0.56930053
1,0.50066257
1,0.91644824
1,0.6791584
1,0.4817022
0,0.0037214116
1,0.44419414
1,0.7882523
0,0.10758799
1,0.56582516
0,0.1541239
1,0.475292
1,0.6658564
1,0.013752594
1,0.036996584
1,0.93757474
1,0.6713331
0,0.07103985
1,0.15514125
1,0.10945654
1,0.2388774
0,0.6275763
0,0.4200435
1,0.96670645
1,0.017103737
1,0.14467633
0,0.043759946
1,0.37155935
1,0.69912374
0,0.06566161
1,0.67024
1,0.21359314
1,0.5831994
1,0.20741987
1,0.7753401
0,0.034764968
1,0.29057986
1,0.27731442
1,0.14860332
1,0.754211
0,0.053559806
1,0.51285845
1,0.8468447
0,0.004478373
1,0.8294644
1,0.13255298
1,0.44100934
0,0.08717107
1,0.91097
0,0.028227579
1,0.35487273
1,0.72110814
1,0.48911968
1,0.040635206
1,0.7802843
0,0.09240379
0,0.24131674
0,0.06502366
0,0.71629584
1,0.38687602
1,0.7016826
0,0.13142605
0,0.024547596
0,0.14375664
1,0.9036044
1,0.88496405
0,0.016230501
0,0.07879374
0,0.2785877
1,0.75472945
1,0.0772609
0,0.007896791
0,0.17354952
0,0.024107689
1,0.31838435
1,0.92358035
1,0.5717121
0,0.46615362
0,0.06028723
1,0.6842528
0,0.0015038399
1,0.21024317
0,0.3117864
0,0.0772696
1,0.48911968
1,0.79831415
0,0.050988086
1,0.6927516
1,0.14097522
1,0.50397646
1,0.27112728
1,0.4727921
1,0.14284171
0,0.030544413
1,0.07336771
0,0.073281944
1,0.7053557
1,0.6273447
1,0.09311968
1,0.12435951
0,0.72682995
0,0.014408254
0,0.07209436
0,0.005178654
0,0.013952266
1,0.6168635
1,0.74737734
1,0.08564765
1,0.5953809
0,0.6049083
1,0.47691116
1,0.2511904
1,0.96158457
0,0.08448062
0,0.011094074
0,0.08668194
0,0.04969314
0,0.5921799
1,0.32971343
1,0.25092328
0,0.13698283
0,0.060628753
1,0.27643737
0,0.021000557
0,0.09811088
0,0.0065576416
0,0.5326938
1,0.6659963
1,0.060726505
0,0.09132511
0,0.013461801
1,0.47696725
0,0.057698034
1,0.75738394
1,0.8689043
1,0.23766059
1,0.3932385
0,0.028872557
1,0.5966105
1,0.6409599
0,0.4037244
0,0.016705299
1,0.9038272
0,0.5682268
1,0.9318007
0,0.08948872
1,0.70004475
0,0.01733866
1,0.25004643
0,0.701188
0,0.015293925
1,0.14463592
1,0.901577
1,0.9285314
1,0.9109623
1,0.35248047
1,0.6172719
1,0.5318188
1,0.5263574
1,0.16593455
1,0.81428564
1,0.20226341
1,0.0889706
1,0.7236841
0,0.07484919
0,0.06421019
1,0.797491
1,0.6289313
1,0.39124927
0,0.40110272
0,0.10369838
1,0.6401255
1,0.84749585
1,0.31637585
1,0.31550726
0,0.019381484
1,0.9299204
1,0.13793
1,0.41433638
0,0.12411216
1,0.81687677
1,0.74575824
0,0.07246787
1,0.80992496
1,0.042910557
0,0.0013309384
0,0.08154631
0,0.06619415
1,0.64353704
0,0.16423883
1,0.8105247
