params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f2,rank_test_accuracy
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7981122181436812,0.6804493551511445,0.7991991073502008,0.46606529209621994,1
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7970634504457262,0.6829266565847083,0.7988982062043692,0.47435897435897434,2
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7933927635028841,0.6855370625251341,0.7936965103963115,0.48666948793906056,3
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7912952281069743,0.6790092776673293,0.7995467366739734,0.47213951509995744,4
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7897220765600419,0.6639068721573692,0.7941213120139561,0.4329004329004329,5
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7876245411641322,0.6803438627494294,0.7926245943144551,0.4810126582278481,6
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7871001573151547,0.679987737393304,0.7949992353570883,0.4808097849008858,7
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7855270057682223,0.6789193613249279,0.7923980334517114,0.4802021903959562,8
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7850026219192449,0.6804769672562914,0.7844216750777386,0.48509029819403604,9
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7844782380702674,0.6705521854627222,0.7940448477227803,0.4591836734693877,10
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7844782380702674,0.6482253204420202,0.7873846663608095,0.39658194566170024,10
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7839538542212899,0.6816784478315293,0.7864791309125304,0.4897446630389284,12
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7839538542212899,0.6765751643982261,0.7861350416022383,0.4761904761904761,12
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7818563188253802,0.6560133500988372,0.7932065725306282,0.4229607250755287,14
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7802831672784478,0.6753581077636743,0.7955189093360069,0.47818791946308725,15
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7755637126376508,0.6236717869421646,0.7795152163939439,0.33913431503792946,16
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7745149449396959,0.6108392380758186,0.7831231981331385,0.3015873015873015,17
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7734661772417409,0.601196241355287,0.7740310275101528,0.2730610371730151,18
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7729417933927635,0.6697344423487565,0.7804129638125663,0.4737061769616026,19
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7729417933927635,0.6684586214904307,0.788238517612275,0.47031772575250835,19
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7692711064499214,0.6666036544267161,0.7779788505434628,0.470637234485631,21
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 1}",0.7687467226009439,0.6662475290705907,0.774652653877306,0.4704412989175687,22
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7671735710540115,0.6670928842897034,0.7806055405458985,0.4749066777270842,23
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7608809648662821,0.6972665431909965,0.7837703125973503,0.5590675622283682,24
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7603565810173046,0.6784110153891466,0.7593144834695531,0.513338722716249,25
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1}",0.7593078133193497,0.5552199622776164,0.7661006893114249,0.14818355640535372,26
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50, 'scale_pos_weight': 2.788}",0.7551127425275301,0.697814537277758,0.7641204057705051,0.5672926447574336,27
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7540639748295752,0.6964643761363443,0.7620162217577724,0.5653364632237872,28
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': 2.788}",0.7530152071316204,0.677890633407532,0.7605421601445458,0.5215827338129496,29
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': 2.788}",0.7530152071316204,0.7091482444365148,0.7853817267336154,0.5961538461538461,29
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'scale_pos_weight': 2.788}",0.7519664394336655,0.716090918874219,0.7846963801238155,0.613099771515613,31
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7493445201887782,0.7187756650977327,0.7877648638086014,0.6219281663516069,32
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 2.788}",0.7488201363398007,0.7299019274665398,0.7939117432159182,0.6469052945563013,33
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 2.788}",0.7477713686418458,0.7055869908752612,0.7749698390851473,0.5938697318007663,34
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7461982170949135,0.7198284651067952,0.7828499090924539,0.6275836151822624,35
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7446250655479811,0.7359836706258177,0.7986043850854985,0.6640912435614422,36
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': 2.788}",0.7425275301520713,0.7288179753388502,0.7930465639213155,0.6508875739644971,37
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 2.788}",0.7425275301520713,0.7198872293305694,0.7858178563943972,0.6315396113602393,37
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7362349239643419,0.5,0.7647561921915799,0.0,39
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7362349239643419,0.5,0.7582482314092652,0.0,39
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'scale_pos_weight': 1}",0.7362349239643419,0.5,0.7762669000243554,0.0,39
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': 2.788}",0.735186156266387,0.7136256534864884,0.7831713423164715,0.6254653760238272,42
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2.788}",0.735186156266387,0.7308492350738871,0.7988514780264283,0.6624087591240876,42
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 2.788}",0.735186156266387,0.7206426682072806,0.7893323817777099,0.6406942392909896,42
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'scale_pos_weight': 2.788}",0.7315154693235448,0.725804715864358,0.7934841095874893,0.6553486673968602,45
