params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f2,rank_test_accuracy
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.7117117117117117,0.7079508196721311,0.7559836065573771,0.7434640522875817,1
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.7072072072072072,0.7011475409836065,0.7604918032786885,0.7536466774716369,2
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",0.7027027027027027,0.6997540983606558,0.7445901639344262,0.7295081967213115,3
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.7027027027027027,0.7015573770491803,0.7572131147540984,0.7178217821782179,3
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 200}",0.7027027027027027,0.6979508196721311,0.7526229508196721,0.741042345276873,3
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.6981981981981982,0.6956557377049181,0.7568852459016394,0.7224958949096881,6
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50}",0.6936936936936937,0.6915573770491803,0.7528688524590164,0.7154605263157895,7
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50}",0.6936936936936937,0.6906557377049181,0.7465573770491803,0.7213114754098361,7
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100}",0.6891891891891891,0.6829508196721312,0.759016393442623,0.7374392220421394,9
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.6846846846846847,0.6815573770491803,0.7400819672131148,0.7131147540983608,10
"{'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 50}",0.6846846846846847,0.6788524590163935,0.7559016393442622,0.7305194805194806,10
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200}",0.6846846846846847,0.680655737704918,0.7538524590163934,0.7189542483660132,10
"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",0.6846846846846847,0.680655737704918,0.7608196721311475,0.7189542483660132,10
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.6846846846846847,0.6815573770491803,0.7504508196721311,0.7131147540983608,10
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.6846846846846847,0.6815573770491803,0.7509016393442622,0.7131147540983608,10
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.6846846846846847,0.6815573770491803,0.7494262295081967,0.7131147540983608,10
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.6801801801801802,0.6711475409836065,0.7467622950819672,0.7463884430176565,17
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.6756756756756757,0.6724590163934426,0.7400409836065575,0.7049180327868853,18
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}",0.6756756756756757,0.673360655737705,0.7522950819672131,0.699013157894737,18
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.6756756756756757,0.6751639344262295,0.723688524590164,0.6870860927152318,18
"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.6711711711711712,0.6674590163934426,0.7398360655737705,0.7037643207855974,21
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.6711711711711712,0.6647540983606557,0.7454508196721311,0.7212317666126418,21
"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200}",0.6621621621621622,0.6583606557377049,0.7463114754098361,0.6955810147299509,23
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.6531531531531531,0.6429508196721312,0.718483606557377,0.728,24
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",0.6531531531531531,0.6438524590163934,0.7135655737704918,0.7223113964686999,24
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.6486486486486487,0.6460655737704918,0.7118442622950819,0.674342105263158,26
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.6441441441441441,0.6365573770491804,0.7374999999999999,0.7027463651050081,27
